18317	2
0	22.8990426	40.6678157
1	22.8570757	40.6894736
2	22.8551961	40.688375
3	22.8562988	40.6884159
4	22.8578506	40.6884815
5	22.8468725	40.6858068
6	22.846756	40.6862871
7	22.8466159	40.6868841
8	22.8464911	40.6874795
9	22.8463087	40.6882248
10	22.846078	40.6890196
11	22.8458686	40.689723
12	22.8476098	40.6859683
13	22.8475048	40.6864058
14	22.8472314	40.6875922
15	22.8470762	40.6883355
16	22.8468866	40.689157
17	22.8483843	40.6861239
18	22.8482864	40.6865142
19	22.8479771	40.6877105
20	22.8477633	40.6884466
21	22.8475195	40.6892618
22	22.8490264	40.6862187
23	22.8489396	40.6866119
24	22.8488031	40.6872005
25	22.8486469	40.6878154
26	22.8484868	40.6885444
27	22.8497401	40.6863197
28	22.8496327	40.6867146
29	22.8493459	40.687911
30	22.8505795	40.6864446
31	22.8504779	40.6868323
32	22.8503295	40.6874123
33	22.8501933	40.6880039
34	22.846365	40.6857153
35	22.8455471	40.6873062
36	22.8447115	40.6871541
37	22.8438282	40.6870117
38	22.8428602	40.6868491
39	22.8424043	40.6875077
40	22.8435505	40.6877305
41	22.8444331	40.6879155
42	22.8453478	40.6880785
43	22.8420038	40.688172
44	22.8424334	40.6882806
45	22.8432692	40.6884774
46	22.8441816	40.6886688
47	22.8451502	40.688844
48	22.9381013	40.6333319
49	22.938944	40.6341243
50	22.9408421	40.6359246
51	22.9426815	40.6378276
52	22.9432038	40.6385045
53	22.9435786	40.6389583
54	22.9439459	40.6394058
55	22.9373194	40.6337841
56	22.9380954	40.6346118
57	22.9389488	40.6355194
58	22.9394622	40.6360597
59	22.9398422	40.6364623
60	22.9405361	40.6371819
61	22.9414086	40.6381119
62	22.9416918	40.6383966
63	22.936916	40.6396071
64	22.9426826	40.6394382
65	22.943106	40.6398411
66	22.9532538	40.602481
67	22.9533614	40.6020899
68	22.953262	40.6068608
69	22.9584412	40.6184277
70	22.9359796	40.6346407
71	22.9368022	40.6340763
72	22.9391109	40.6327472
73	22.939672	40.6324223
74	22.9413152	40.6314659
75	22.941868	40.631144
76	22.9429258	40.6304921
77	22.9438433	40.6298506
78	22.9449425	40.6290943
79	22.9454912	40.6287174
80	22.9461715	40.6282563
81	22.9473768	40.6274251
82	22.962553	40.6092581
83	22.9616012	40.6113779
84	22.9601776	40.6145558
85	22.9598158	40.6153633
86	22.9587497	40.6173874
87	22.9522506	40.6236556
88	22.9524364	40.6207309
89	22.9525877	40.6203205
90	22.9528883	40.619522
91	22.953054	40.6176189
92	22.9528676	40.6166084
93	22.9518554	40.6110102
94	22.9514196	40.6084975
95	22.9631086	40.6145015
96	22.9527467	40.6795106
97	22.958935	40.6134928
98	22.960423	40.614008
99	22.9541153	40.6143472
100	22.8149598	40.6505651
101	22.809087	40.6481685
102	22.9343947	40.6563841
103	22.9351547	40.6596533
104	22.929657	40.6771807
105	22.8819989	40.6531168
106	22.9536141	40.6863525
107	22.9529051	40.6865231
108	22.953947	40.6871177
109	22.9522227	40.6860253
110	22.9358257	40.6402772
111	22.9703534	40.5765948
112	22.9782562	40.582847
113	22.8222722	40.7013841
114	22.9529654	40.6239626
115	22.9534746	40.6221611
116	22.9537067	40.6214921
117	22.9546141	40.6177961
118	22.9536903	40.6108066
119	22.9534404	40.6099105
120	22.9533627	40.6094588
121	22.9533833	40.6082526
122	22.9530549	40.6062565
123	22.949765	40.6001298
124	22.9743211	40.5684791
125	22.9687981	40.5785367
126	22.9666792	40.5809442
127	22.9652	40.5827044
128	22.9638911	40.5845528
129	22.9634631	40.5851485
130	22.9626161	40.5863314
131	22.9622712	40.5868096
132	22.9618457	40.5873047
133	22.9581475	40.591285
134	22.9575314	40.5920187
135	22.9563998	40.5935263
136	22.9561616	40.594542
137	22.956036	40.5971631
138	22.9536855	40.6010502
139	22.9730733	40.5703201
140	22.9707226	40.5748267
141	22.970613	40.5750306
142	22.9698675	40.5763381
143	22.9637534	40.5825136
144	22.9629255	40.5828311
145	22.9620798	40.583157
146	22.9596891	40.5839677
147	22.959077	40.584029
148	22.9543566	40.5875379
149	22.9545366	40.5897191
150	22.9539638	40.5933065
151	22.9537322	40.5947252
152	22.9536199	40.5954131
153	22.9531211	40.5962507
154	22.9502935	40.6032852
155	22.9505197	40.5984139
156	22.9513255	40.5986366
157	22.9519218	40.598807
158	22.9545691	40.5995493
159	22.9593892	40.6008564
160	22.9603351	40.6011204
161	22.9698229	40.6037165
162	22.970986	40.6039969
163	22.9715679	40.6041103
164	22.9714448	40.5955993
165	22.9716148	40.5965598
166	22.9715072	40.596872
167	22.9681943	40.6054129
168	22.968025	40.6057052
169	22.9649846	40.6098583
170	22.9643663	40.6113969
171	22.9631239	40.6143622
172	22.95115	40.6070339
173	22.9526311	40.6069044
174	22.9561054	40.6069682
175	22.9569015	40.606999
176	22.9576852	40.6070295
177	22.9612038	40.6071491
178	22.9673856	40.6085863
179	22.9696346	40.6090903
180	22.9756894	40.6077964
181	22.9514154	40.5938478
182	22.9429538	40.5877554
183	22.9501324	40.5929368
184	22.9488206	40.5919619
185	22.9528222	40.5884738
186	22.9599588	40.589379
187	22.9570697	40.5951923
188	22.9648366	40.5897445
189	22.9664552	40.5875071
190	22.9662909	40.587467
191	22.9663011	40.5865174
192	22.9662967	40.5856147
193	22.9662776	40.5841855
194	22.9662806	40.583037
195	22.8145507	40.6499746
196	22.8487958	40.6952695
197	22.9526183	40.7054649
198	22.9490039	40.6983763
199	22.9479505	40.6959019
200	22.8631961	40.6877036
201	22.8570552	40.6943973
202	22.8545907	40.6991028
203	22.8483305	40.6536839
204	22.9107111	40.6433227
205	22.9068491	40.6472481
206	22.9926466	40.6139498
207	22.9756224	40.6300046
208	22.9695993	40.6429114
209	22.9622586	40.6687205
210	22.9515572	40.6798011
211	22.9183929	40.6776059
212	22.9682025	40.6611013
213	22.9448927	40.6306964
214	22.9473756	40.6313894
215	22.9533397	40.6311314
216	22.9565548	40.6294371
217	22.9601087	40.6261355
218	22.9621547	40.6235718
219	22.9635657	40.6275362
220	22.9664189	40.6153044
221	22.9639417	40.6057693
222	22.9583165	40.6045625
223	22.9599346	40.5988532
224	22.9545171	40.6093729
225	22.9689419	40.6068875
226	22.9636048	40.6092144
227	22.9459604	40.6300102
228	22.942685	40.6319681
229	22.9395871	40.6425236
230	22.9546581	40.6351417
231	22.9563361	40.6343434
232	22.9647457	40.6257808
233	22.9672735	40.6220436
234	22.9657826	40.6204183
235	22.9749472	40.6257856
236	22.9601949	40.5978945
237	22.9600314	40.59735
238	22.9504477	40.6039279
239	22.9527938	40.6040999
240	22.9555875	40.6043045
241	22.9570807	40.6044138
242	22.9576207	40.6044609
243	22.9607423	40.6050905
244	22.911328	40.6666576
245	22.9099728	40.6662955
246	22.9087463	40.665965
247	22.9058484	40.6650815
248	22.8076822	40.7055855
249	22.8485981	40.6900848
250	22.8483197	40.6904386
251	22.8448761	40.6955353
252	22.8082284	40.6512656
253	22.8058107	40.6527899
254	22.8010566	40.6465982
255	22.8042832	40.6450141
256	22.800552	40.6563347
257	22.7962048	40.6693163
258	22.8014166	40.6515658
259	22.8013864	40.6544626
260	22.8011123	40.6567075
261	22.8014634	40.6592603
262	22.8026004	40.6612327
263	22.8055959	40.6650706
264	22.8057825	40.6653266
265	22.8059636	40.6658569
266	22.8057611	40.666569
267	22.8053038	40.6683847
268	22.8050049	40.669395
269	22.8034931	40.6707401
270	22.8046569	40.6704937
271	22.8068768	40.6702176
272	22.8082072	40.6700624
273	22.8101056	40.669842
274	22.8141263	40.6693043
275	22.8347286	40.6647398
276	22.8356398	40.6641034
277	22.8496716	40.654138
278	22.8524502	40.6543639
279	22.8891068	40.660272
280	22.891692	40.6614679
281	22.8932677	40.6550839
282	22.9005111	40.6531838
283	22.9273217	40.6410671
284	22.901283	40.6550952
285	22.9015498	40.6553187
286	22.9197838	40.6611066
287	22.9298608	40.6653203
288	22.9333247	40.6635338
289	22.9299812	40.6662209
290	22.9305626	40.6662508
291	22.9317944	40.6664769
292	22.9328525	40.6685599
293	22.9325013	40.6730788
294	22.9283812	40.6738293
295	22.9268768	40.6754205
296	22.9251299	40.6824173
297	22.9251311	40.6827447
298	22.9251499	40.6900383
299	22.9125067	40.6605224
300	22.9083607	40.6599181
301	22.8989418	40.6539944
302	22.9015589	40.6513889
303	22.9020765	40.6507814
304	22.9069018	40.647365
305	22.9101842	40.6439316
306	22.9446884	40.6339889
307	22.9471138	40.6323944
308	22.9465046	40.6305002
309	22.9533286	40.6293465
310	22.9513718	40.6304203
311	22.9438374	40.6313052
312	22.9444474	40.6318493
313	22.9432862	40.6325745
314	22.9440051	40.6332996
315	22.9501686	40.6352575
316	22.9499738	40.6358907
317	22.9521895	40.6391709
318	22.9516379	40.6396437
319	22.9460646	40.6419895
320	22.9382931	40.6422688
321	22.9389065	40.6419265
322	22.9399604	40.6414105
323	22.9404684	40.6411617
324	22.941181	40.6408128
325	22.9455543	40.63858
326	22.9484656	40.637037
327	22.9489849	40.6367629
328	22.9518304	40.6352719
329	22.9542005	40.634646
330	22.8672147	40.6799128
331	22.8712701	40.6776998
332	22.88939	40.6679185
333	22.8962654	40.6636922
